Sequence,Station Types,Station Quantity,Maximum Distance,Minimum Points,Name,Algorithm,Metric,Method,Seed,Generated Cluster Count,Valid Cluster Count,Clustered Station Count,Unclsutered Noise Count,Average Station Degree,Degree Weighted Mean Absolute Error,Degree Error Station Count,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index,Modularity,Conductance Average,Coverage Score,Performance Score
0,['HN' 'LN'],285,10.0,2,DBSCAN,auto,haversine,None,None,5,5,101,184,14.9702970297,0,0,-0.00274892673985,15.5180145918,1.1897974913,0.00726937971574,0.520610253481,0.0,0.974226804124,0.972349888807
1,['HN' 'LN'],285,20.0,2,DBSCAN,auto,haversine,None,None,8,8,106,179,29.2075471698,0,0,-0.0888755516585,10.3368411852,2.78008760781,0.00476792343473,0.469638658428,0.343102511274,0.917270531401,0.992488262911
2,['HN' 'LN'],285,30.0,2,DBSCAN,auto,haversine,None,None,9,9,137,148,28.3941605839,0,0,-0.0519902299407,12.158333894,8.12821505787,0.0111964247722,0.500826091235,0.294595283426,0.93093385214,0.975240919199
3,['HN' 'LN'],285,40.0,2,DBSCAN,auto,haversine,None,None,6,6,176,109,27.0625,0,0,-0.073535171463,24.1981037829,1.42526269491,0.0118082603092,0.494819922259,0.144947564839,0.943775100402,0.90133432172
4,['HN' 'LN'],285,50.0,2,DBSCAN,auto,haversine,None,None,3,3,225,60,25.92,0,0,0.00942397004072,10.7314862258,3.73378499776,0.00659571318946,0.0306321125492,0.166590678778,0.966209434594,0.49982703237
5,['HN' 'LN'],285,10.0,3,DBSCAN,auto,haversine,None,None,9,9,113,172,13.5752212389,0,0,-0.115890190231,9.67457341145,2.83909961216,0.00726937971574,0.534751468009,0.0,0.988402061856,0.972596985421
6,['HN' 'LN'],285,20.0,3,DBSCAN,auto,haversine,None,None,5,5,95,190,32.0526315789,0,0,-0.0271799655024,14.769215016,1.18940170914,0.00476792343473,0.456158545124,0.152831095496,0.899154589372,0.992834198171
7,['HN' 'LN'],285,30.0,3,DBSCAN,auto,haversine,None,None,7,7,124,161,30.8064516129,0,0,-0.0505199755296,13.8221219073,4.46831133152,0.00741083368302,0.489384656656,0.176586180858,0.910992217899,0.982209043736
8,['HN' 'LN'],285,40.0,3,DBSCAN,auto,haversine,None,None,4,4,158,127,29.5949367089,0,0,-0.0264633503527,28.1499336745,1.61164464526,0.0106806466944,0.486909404687,0.225033632848,0.922891566265,0.919743019521
9,['HN' 'LN'],285,50.0,3,DBSCAN,auto,haversine,None,None,2,2,185,100,30.627027027,0,0,0.113125855911,13.3595150167,3.88730273087,0.0175762963722,0.0502200496277,0.204463665788,0.934760789562,0.674450210032
10,['HN' 'LN'],285,10.0,4,DBSCAN,auto,haversine,None,None,5,5,99,186,15.2424242424,0,0,-0.0082282231859,15.2519550339,1.19695426158,0.00521284207024,0.520204226007,0.000308023646359,0.971649484536,0.974647887324
11,['HN' 'LN'],285,20.0,4,DBSCAN,auto,haversine,None,None,4,4,86,199,33.9186046512,0,0,-0.0580302919059,12.6598750821,1.40251225831,0.00389580050552,0.425471204112,0.21589315347,0.835144927536,0.991944650358
12,['HN' 'LN'],285,30.0,4,DBSCAN,auto,haversine,None,None,5,5,103,182,35.5533980583,0,0,0.00305956212703,16.1307599397,1.19388930177,0.00313940701513,0.466603156369,0.139938483765,0.868190661479,0.990906844576
13,['HN' 'LN'],285,40.0,4,DBSCAN,auto,haversine,None,None,4,4,126,159,35.2777777778,0,0,-0.00514685573795,23.780976212,1.29421898477,0.0106806466944,0.473669134369,0.232855115318,0.870682730924,0.963973313566
14,['HN' 'LN'],285,50.0,4,DBSCAN,auto,haversine,None,None,2,2,175,110,32.0971428571,0,0,0.125556777448,13.8405243539,3.68245432419,0.0144047889795,0.0551916635112,0.202599961306,0.924389427902,0.715542377069
15,['HN' 'LN'],285,10.0,5,DBSCAN,auto,haversine,None,None,5,5,99,186,15.2424242424,0,0,-0.0082282231859,15.2519550339,1.19695426158,0.00521284207024,0.520204226007,0.000308023646359,0.971649484536,0.974647887324
16,['HN' 'LN'],285,20.0,5,DBSCAN,auto,haversine,None,None,2,2,72,213,37.9583333333,0,0,0.0398422636735,10.6317272579,1.93723100144,0.000696900953831,0.381926758793,0.137398048007,0.75,0.988707684705
17,['HN' 'LN'],285,30.0,5,DBSCAN,auto,haversine,None,None,4,4,95,190,37.6421052632,0,0,-0.0186925259956,14.221172797,1.40836017787,0.00313940701513,0.448907132394,0.18949070737,0.83560311284,0.991079812207
18,['HN' 'LN'],285,40.0,5,DBSCAN,auto,haversine,None,None,4,4,116,169,37.8706896552,0,0,0.0199659944459,18.2816522041,1.46927084737,0.0106806466944,0.481937952614,0.2701501611,0.86265060241,0.979466271312
19,['HN' 'LN'],285,50.0,5,DBSCAN,auto,haversine,None,None,2,2,130,155,40.2,0,0,0.111909684654,14.092141963,3.27946688893,0.00429715108839,0.107512311508,0.141744589743,0.859150217464,0.867136150235
20,['HN' 'LN'],285,10.0,2,HDBSCAN,best,haversine,eom,None,5,5,51,234,14.568627451,0,0,-0.255362978265,4.2341780277,1.65096043247,0.00123554407635,0.193415214157,0.365642789241,0.302835051546,0.98277736595
21,['HN' 'LN'],285,20.0,2,HDBSCAN,best,haversine,eom,None,18,18,100,185,29.17,0,0,-0.218475200269,4.05469124194,2.40248083295,0.000393752782259,0.234747674975,0.783852861149,0.365942028986,0.972522856437
22,['HN' 'LN'],285,30.0,2,HDBSCAN,best,haversine,eom,None,23,23,126,159,29.0873015873,0,0,-0.192154181646,3.8526841297,3.50384961262,0.000393752782259,0.241603416592,0.78581996827,0.380836575875,0.96338028169
23,['HN' 'LN'],285,40.0,2,HDBSCAN,best,haversine,eom,None,28,28,154,131,28.9025974026,0,0,-0.139834611408,4.72075569673,2.92875179062,0.000393752782259,0.249815567491,0.744528756847,0.389156626506,0.957425253274
24,['HN' 'LN'],285,50.0,2,HDBSCAN,best,haversine,eom,None,33,33,187,98,28.7326203209,0,0,-0.12082172623,6.24733291619,3.02361634075,0.000393752782259,0.244031002043,0.736154123431,0.378721980596,0.948727452434
25,['HN' 'LN'],285,10.0,3,HDBSCAN,best,haversine,eom,None,35,35,243,42,6.38271604938,0,0,-0.00275143577557,17.0623282665,2.79906604489,0.000566287424054,0.426359569295,0.0,0.619845360825,0.968841116877
26,['HN' 'LN'],285,20.0,3,HDBSCAN,best,haversine,eom,None,11,11,92,193,31.8586956522,0,0,-0.14694583591,6.47022178698,1.50083112523,0.000566287424054,0.245913155791,0.680692374255,0.392512077295,0.974697306647
27,['HN' 'LN'],285,30.0,3,HDBSCAN,best,haversine,eom,None,14,14,115,170,31.5304347826,0,0,-0.156024427462,6.30965855071,2.710946331,0.000566287424054,0.271622559577,0.615996189194,0.426556420233,0.969038794169
28,['HN' 'LN'],285,40.0,3,HDBSCAN,best,haversine,eom,None,16,16,138,147,31.5289855072,0,0,-0.123392214661,6.81446360501,3.97670786546,0.000566287424054,0.2847129885,0.673240562087,0.44859437751,0.960637509266
29,['HN' 'LN'],285,50.0,3,HDBSCAN,best,haversine,eom,None,18,18,172,113,31.1162790698,0,0,-0.099991633361,8.88469049036,7.38915521169,0.000566287424054,0.293515836645,0.646714539952,0.458681833389,0.951470224858
30,['HN' 'LN'],285,10.0,4,HDBSCAN,best,haversine,eom,None,21,21,206,79,7.52427184466,0,0,0.0337190997819,9.65609030027,3.11209824885,0.00124184409866,0.53146671405,0.0,0.769329896907,0.966197183099
31,['HN' 'LN'],285,20.0,4,HDBSCAN,best,haversine,eom,None,6,6,81,204,33.5308641975,0,0,-0.164815185005,8.12836137708,1.59332797384,0.00124184409866,0.26391696714,0.570599962838,0.444444444444,0.977044724487
32,['HN' 'LN'],285,30.0,4,HDBSCAN,best,haversine,eom,None,8,8,99,186,35.0505050505,0,0,-0.111050774438,9.76665718908,1.39120120591,0.00124184409866,0.28148408284,0.538313751984,0.461089494163,0.971929824561
33,['HN' 'LN'],285,40.0,4,HDBSCAN,best,haversine,eom,None,9,9,113,172,36.2920353982,0,0,-0.0716574806809,10.2340109886,1.35180492304,0.00124184409866,0.289047999226,0.61891898972,0.469477911647,0.964665184087
34,['HN' 'LN'],285,50.0,4,HDBSCAN,best,haversine,eom,None,15,15,159,126,33.5911949686,0,0,-0.0672250520334,8.83743912714,4.8554690903,0.00124184409866,0.306242662261,0.647525000377,0.484442957511,0.957845317519
35,['HN' 'LN'],285,10.0,5,HDBSCAN,best,haversine,eom,None,11,11,171,114,8.78362573099,0,0,-0.0578262280492,9.52786192114,4.45087209517,0.00155544290391,0.586173311457,0.0,0.898195876289,0.950803063998
36,['HN' 'LN'],285,20.0,5,HDBSCAN,best,haversine,eom,None,3,3,72,213,37.9583333333,0,0,-0.0134025600389,7.07051883495,2.00006037626,0.000696900953831,0.289105529009,0.539718278914,0.524154589372,0.980306399802
37,['HN' 'LN'],285,30.0,5,HDBSCAN,best,haversine,eom,None,3,3,83,202,42.265060241,0,0,0.029702076598,8.43745137919,2.02547391496,0.00351692137303,0.321042308551,0.508775786354,0.578307392996,0.978280207561
38,['HN' 'LN'],285,40.0,5,HDBSCAN,best,haversine,eom,None,4,4,99,186,42.7373737374,0,0,0.0596042339041,8.37647583832,1.9846205624,0.00351692137303,0.354839438074,0.528282690295,0.608032128514,0.974425500371
39,['HN' 'LN'],285,50.0,5,HDBSCAN,best,haversine,eom,None,4,4,115,170,44.5304347826,0,0,0.0491491887087,11.5137075824,2.09651264599,0.00351692137303,0.354226733665,0.561041296934,0.613917698227,0.960686928589
40,['HN' 'LN'],285,10.0,2,HDBSCAN,best,haversine,leaf,None,5,5,51,234,14.568627451,0,0,-0.255362978265,4.2341780277,1.65096043247,0.00123554407635,0.193415214157,0.365642789241,0.302835051546,0.98277736595
41,['HN' 'LN'],285,20.0,2,HDBSCAN,best,haversine,leaf,None,18,18,100,185,29.17,0,0,-0.218475200269,4.05469124194,2.40248083295,0.000393752782259,0.234747674975,0.783852861149,0.365942028986,0.972522856437
42,['HN' 'LN'],285,30.0,2,HDBSCAN,best,haversine,leaf,None,23,23,126,159,29.0873015873,0,0,-0.192154181646,3.8526841297,3.50384961262,0.000393752782259,0.241603416592,0.78581996827,0.380836575875,0.96338028169
43,['HN' 'LN'],285,40.0,2,HDBSCAN,best,haversine,leaf,None,28,28,154,131,28.9025974026,0,0,-0.139834611408,4.72075569673,2.92875179062,0.000393752782259,0.249815567491,0.744528756847,0.389156626506,0.957425253274
44,['HN' 'LN'],285,50.0,2,HDBSCAN,best,haversine,leaf,None,33,33,187,98,28.7326203209,0,0,-0.12082172623,6.24733291619,3.02361634075,0.000393752782259,0.244031002043,0.736154123431,0.378721980596,0.948727452434
45,['HN' 'LN'],285,10.0,3,HDBSCAN,best,haversine,leaf,None,35,35,243,42,6.38271604938,0,0,-0.00275143577557,17.0623282665,2.79906604489,0.000566287424054,0.426359569295,0.0,0.619845360825,0.968841116877
46,['HN' 'LN'],285,20.0,3,HDBSCAN,best,haversine,leaf,None,11,11,92,193,31.8586956522,0,0,-0.14694583591,6.47022178698,1.50083112523,0.000566287424054,0.245913155791,0.680692374255,0.392512077295,0.974697306647
47,['HN' 'LN'],285,30.0,3,HDBSCAN,best,haversine,leaf,None,14,14,115,170,31.5304347826,0,0,-0.156024427462,6.30965855071,2.710946331,0.000566287424054,0.271622559577,0.615996189194,0.426556420233,0.969038794169
