Sequence,Station Types,Station Quantity,Maximum Distance,Minimum Points,Name,Algorithm,Metric,Method,Seed,Generated Cluster Count,Valid Cluster Count,Clustered Station Count,Unclsutered Noise Count,Average Station Degree,Degree Weighted Mean Absolute Error,Degree Error Station Count,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index,Modularity,Conductance Average,Coverage Score,Performance Score
0,['HN' 'LN'],285,10.0,2,DBSCAN,auto,haversine,None,None,9,9,113,172,13.5752212389,0.0,0,-0.115890190231,9.67457341145,2.83909961216,0.00726937971574,0.534751468009,0.0,0.988402061856,0.972596985421
1,['HN' 'LN'],285,20.0,2,DBSCAN,auto,haversine,None,None,14,14,131,154,24.3053435115,0.0,0,-0.0880646237753,7.88561720943,2.36407137599,0.00831102648227,0.486358345586,0.337139277898,0.94806763285,0.98361749444
2,['HN' 'LN'],285,30.0,2,DBSCAN,auto,haversine,None,None,22,22,196,89,20.6734693878,0.0,0,-0.0344670221107,10.270483952,3.15713102403,0.0153715831539,0.531675938508,0.134277171403,0.980544747082,0.949369903632
3,['HN' 'LN'],285,40.0,2,DBSCAN,auto,haversine,None,None,13,13,237,48,20.7679324895,0.0,0,-0.338134447316,29.2541321215,1.32221889781,0.0199946940067,0.506052160449,0.124348377095,0.981124497992,0.809735606622
4,['HN' 'LN'],285,50.0,2,DBSCAN,auto,haversine,None,None,10,10,269,16,22.126394052,0.0,0,-0.261819310649,12.1739109604,1.55124377106,0.033222947144,0.0283472766935,0.10925501482,0.991635998662,0.368495181616
5,['HN' 'LN'],285,10.0,3,DBSCAN,auto,haversine,None,None,9,9,113,172,13.5752212389,0.0,0,-0.115890190231,9.67457341145,2.83909961216,0.00726937971574,0.534751468009,0.0,0.988402061856,0.972596985421
6,['HN' 'LN'],285,20.0,3,DBSCAN,auto,haversine,None,None,8,8,119,166,26.6050420168,1.0,10,-0.0726630929912,11.9347195764,3.12181711285,0.00831102648227,0.482737709748,0.256998387325,0.944444444444,0.983469236471
7,['HN' 'LN'],285,30.0,3,DBSCAN,auto,haversine,None,None,8,8,159,126,25.0440251572,1.0,15,-0.0279549850431,17.4517973286,4.43110317804,0.0165117740634,0.51617608234,0.145871715665,0.964980544747,0.949098097356
8,['HN' 'LN'],285,40.0,3,DBSCAN,auto,haversine,None,None,6,6,219,66,22.3515981735,1.0,35,-0.0935922442567,31.8263272503,1.75448090485,0.0193597402944,0.501237318753,0.140348981072,0.976305220884,0.809562638992
9,['HN' 'LN'],285,50.0,3,DBSCAN,auto,haversine,None,None,3,3,251,34,23.5896414343,1.0,17,-0.000218840693209,15.4371961941,2.48457035421,0.033222947144,0.0236668498222,0.104413950353,0.986952157912,0.368198665678
10,['HN' 'LN'],285,10.0,4,DBSCAN,auto,haversine,None,None,5,5,99,186,15.2424242424,0.0,0,-0.0082282231859,15.2519550339,1.19695426158,0.00521284207024,0.520204226007,0.000308023646359,0.971649484536,0.974647887324
11,['HN' 'LN'],285,20.0,4,DBSCAN,auto,haversine,None,None,5,5,110,175,28.5454545455,1.71428571429,14,0.00213334744472,17.498306356,1.20866527274,0.00831102648227,0.477316601613,0.00909803588137,0.939009661836,0.983246849518
12,['HN' 'LN'],285,30.0,4,DBSCAN,auto,haversine,None,None,7,7,151,134,26.1986754967,1.59090909091,22,-0.0300658444553,16.9834733974,28.7843307224,0.0165117740634,0.50988719076,0.166710532189,0.958657587549,0.949147516679
13,['HN' 'LN'],285,40.0,4,DBSCAN,auto,haversine,None,None,4,4,201,84,24.144278607,1.73529411765,34,-0.0233760455436,36.0809534494,1.91702628244,0.0196365876171,0.499552829793,0.0707019093755,0.969879518072,0.836940943909
14,['HN' 'LN'],285,50.0,4,DBSCAN,auto,haversine,None,None,2,2,244,41,24.1967213115,1.40476190476,42,0.122682031158,21.3187610755,2.71453370404,0.033222947144,0.0242639986631,0.146379765493,0.983941117431,0.391203360514
15,['HN' 'LN'],285,10.0,5,DBSCAN,auto,haversine,None,None,5,5,99,186,15.2424242424,0.0,0,-0.0082282231859,15.2519550339,1.19695426158,0.00521284207024,0.520204226007,0.000308023646359,0.971649484536,0.974647887324
16,['HN' 'LN'],285,20.0,5,DBSCAN,auto,haversine,None,None,3,3,98,187,31.4693877551,2.53846153846,13,-0.0245692673884,16.619683428,1.67251927031,0.00831102648227,0.460538205384,0.0151633931356,0.922101449275,0.982629107981
17,['HN' 'LN'],285,30.0,5,DBSCAN,auto,haversine,None,None,5,5,141,144,27.8085106383,2.22222222222,27,0.0374783408413,22.7110826815,1.32336839424,0.0132862859634,0.503683344941,0.0586013767049,0.951361867704,0.951396095873
18,['HN' 'LN'],285,40.0,5,DBSCAN,auto,haversine,None,None,5,5,184,101,26.0217391304,2.05714285714,35,0.0230366120434,27.9168484814,1.55205254826,0.0168883069284,0.509680972888,0.118000894337,0.956224899598,0.890585618977
19,['HN' 'LN'],285,50.0,5,DBSCAN,auto,haversine,None,None,2,2,219,66,26.5159817352,2.05555555556,36,0.156443219594,22.8056044704,2.61418787411,0.0204744830342,0.0393858556427,0.0805752957912,0.967547674808,0.52592043489
20,['HN' 'LN'],285,10.0,2,HDBSCAN,best,haversine,eom,None,13,13,96,189,10.0208333333,0.0,0,-0.309039703756,4.73399167175,2.51072139283,0.000393752782259,0.23178854687,0.0,0.346649484536,0.98176426983
21,['HN' 'LN'],285,20.0,2,HDBSCAN,best,haversine,eom,None,32,32,131,154,24.3053435115,0.0,0,-0.166758142944,3.23509270756,1.94703926041,0.000393752782259,0.252028197858,0.735646968903,0.38768115942,0.973017049666
22,['HN' 'LN'],285,30.0,2,HDBSCAN,best,haversine,eom,None,51,51,196,89,20.6734693878,0.0,0,-0.0398588778657,4.03162222891,2.73995842397,0.000406666942625,0.265612343677,0.604843497608,0.407101167315,0.962416604893
23,['HN' 'LN'],285,40.0,2,HDBSCAN,best,haversine,eom,None,62,62,237,48,20.7679324895,0.0,0,0.0649836854089,7.28232712668,2.37820258624,0.000406666942625,0.272059886131,0.668805594878,0.413654618474,0.957499382258
24,['HN' 'LN'],285,50.0,2,HDBSCAN,best,haversine,eom,None,61,61,269,16,22.126394052,0.0,0,0.0259697229825,23.7436980591,1.96203794841,0.000437227557833,0.271523522012,0.691109723996,0.406825025092,0.946034099333
25,['HN' 'LN'],285,10.0,3,HDBSCAN,best,haversine,eom,None,36,35,254,31,6.1062992126,1.0,10,-0.00258260152299,30.3334209007,2.47694998341,0.000566287424054,0.426359569295,0.0,0.619845360825,0.966691376328
26,['HN' 'LN'],285,20.0,3,HDBSCAN,best,haversine,eom,None,15,15,117,168,26.9658119658,1.0,8,-0.172990678047,6.08689223149,2.44055114286,0.000566287424054,0.278567250694,0.641054170968,0.437801932367,0.970447244873
27,['HN' 'LN'],285,30.0,3,HDBSCAN,best,haversine,eom,None,16,16,145,140,26.9103448276,1.0,8,-0.116678678915,7.52564595643,6.29421719571,0.000566287424054,0.298249216491,0.582998236163,0.468871595331,0.95735112429
28,['HN' 'LN'],285,40.0,3,HDBSCAN,best,haversine,eom,None,23,23,201,84,23.92039801,1.0,17,-0.0579449200115,10.127595229,3.15696407056,0.000566287424054,0.323668569862,0.5757380906,0.495582329317,0.953101062515
29,['HN' 'LN'],285,50.0,3,HDBSCAN,best,haversine,eom,None,24,24,249,36,23.4297188755,1.0,27,-0.0380476548572,29.4359897454,2.26809910074,0.000628811982053,0.335134312598,0.529282014569,0.502509200401,0.940993328391
30,['HN' 'LN'],285,10.0,4,HDBSCAN,best,haversine,eom,None,23,23,243,42,6.37860082305,1.45833333333,24,0.0822116968125,25.2762200605,1.92358373539,0.00124184409866,0.53146671405,0.0,0.769329896907,0.959352606869
31,['HN' 'LN'],285,20.0,4,HDBSCAN,best,haversine,eom,None,8,8,100,185,30.01,1.875,8,-0.102835584022,10.0620887117,1.42609727393,0.00124184409866,0.301017636059,0.457765851087,0.499396135266,0.974054855448
32,['HN' 'LN'],285,30.0,4,HDBSCAN,best,haversine,eom,None,10,10,123,162,30.918699187,1.625,8,-0.0526199712198,9.95499613616,1.3989579634,0.00124184409866,0.313026361111,0.530471555106,0.512159533074,0.964566345441
33,['HN' 'LN'],285,40.0,4,HDBSCAN,best,haversine,eom,None,11,11,143,142,31.0559440559,1.8,15,-0.0285133483728,13.1149876565,1.57607705874,0.00124184409866,0.316552071741,0.535256326153,0.506827309237,0.96103286385
34,['HN' 'LN'],285,50.0,4,HDBSCAN,best,haversine,eom,None,15,15,211,74,26.7251184834,1.6,30,0.000224775371417,18.8051499843,2.25995622237,0.00124184409866,0.345496328066,0.536939518094,0.525593844095,0.951593773165
35,['HN' 'LN'],285,10.0,5,HDBSCAN,best,haversine,eom,None,13,13,221,64,6.83257918552,1.6,30,0.0135841162762,21.3913427423,2.54299637772,0.00155544290391,0.588746479435,0.194361194935,0.900773195876,0.94012849024
36,['HN' 'LN'],285,20.0,5,HDBSCAN,best,haversine,eom,None,3,3,91,194,33.4725274725,2.58333333333,12,0.0258000187285,9.6591920589,2.02395563348,0.00351692137303,0.362227859752,0.431464564767,0.661231884058,0.976822337534
37,['HN' 'LN'],285,30.0,5,HDBSCAN,best,haversine,eom,None,4,4,117,168,32.2478632479,2.1,20,-0.0920822457407,15.5886793915,1.72021544618,0.00351692137303,0.372496177081,0.32701438924,0.670719844358,0.957375833951
38,['HN' 'LN'],285,40.0,5,HDBSCAN,best,haversine,eom,None,5,5,126,159,35.5317460317,1.5,10,-0.0751280096253,13.7060717225,1.77098188593,0.00351692137303,0.384599441944,0.431644489757,0.668273092369,0.959624413146
39,['HN' 'LN'],285,50.0,5,HDBSCAN,best,haversine,eom,None,5,5,151,134,35.9006622517,1.9375,16,0.0897888969733,10.4414813218,3.12586478192,0.00351692137303,0.393920789745,0.456400231932,0.660756105721,0.952162095379
40,['HN' 'LN'],285,10.0,2,HDBSCAN,best,haversine,leaf,None,13,13,96,189,10.0208333333,0.0,0,-0.309039703756,4.73399167175,2.51072139283,0.000393752782259,0.23178854687,0.0,0.346649484536,0.98176426983
41,['HN' 'LN'],285,20.0,2,HDBSCAN,best,haversine,leaf,None,32,32,131,154,24.3053435115,0.0,0,-0.166758142944,3.23509270756,1.94703926041,0.000393752782259,0.252028197858,0.735646968903,0.38768115942,0.973017049666
42,['HN' 'LN'],285,30.0,2,HDBSCAN,best,haversine,leaf,None,51,51,196,89,20.6734693878,0.0,0,-0.0398588778657,4.03162222891,2.73995842397,0.000406666942625,0.265612343677,0.604843497608,0.407101167315,0.962416604893
43,['HN' 'LN'],285,40.0,2,HDBSCAN,best,haversine,leaf,None,62,62,237,48,20.7679324895,0.0,0,0.0649836854089,7.28232712668,2.37820258624,0.000406666942625,0.272059886131,0.668805594878,0.413654618474,0.957499382258
44,['HN' 'LN'],285,50.0,2,HDBSCAN,best,haversine,leaf,None,61,61,269,16,22.126394052,0.0,0,0.0259697229825,23.7436980591,1.96203794841,0.000437227557833,0.271523522012,0.691109723996,0.406825025092,0.946034099333
45,['HN' 'LN'],285,10.0,3,HDBSCAN,best,haversine,leaf,None,36,35,254,31,6.1062992126,1.0,10,-0.00258260152299,30.3334209007,2.47694998341,0.000566287424054,0.426359569295,0.0,0.619845360825,0.966691376328
46,['HN' 'LN'],285,20.0,3,HDBSCAN,best,haversine,leaf,None,15,15,117,168,26.9658119658,1.0,8,-0.172990678047,6.08689223149,2.44055114286,0.000566287424054,0.278567250694,0.641054170968,0.437801932367,0.970447244873
47,['HN' 'LN'],285,30.0,3,HDBSCAN,best,haversine,leaf,None,16,16,145,140,26.9103448276,1.0,8,-0.116678678915,7.52564595643,6.29421719571,0.000566287424054,0.298249216491,0.582998236163,0.468871595331,0.95735112429
48,['HN' 'LN'],285,40.0,3,HDBSCAN,best,haversine,leaf,None,23,23,201,84,23.92039801,1.0,17,-0.0579449200115,10.127595229,3.15696407056,0.000566287424054,0.323668569862,0.5757380906,0.495582329317,0.953101062515
49,['HN' 'LN'],285,50.0,3,HDBSCAN,best,haversine,leaf,None,24,24,249,36,23.4297188755,1.0,27,-0.0380476548572,29.4359897454,2.26809910074,0.000628811982053,0.335134312598,0.529282014569,0.502509200401,0.940993328391
50,['HN' 'LN'],285,10.0,4,HDBSCAN,best,haversine,leaf,None,23,23,243,42,6.37860082305,1.45833333333,24,0.0822116968125,25.2762200605,1.92358373539,0.00124184409866,0.53146671405,0.0,0.769329896907,0.959352606869
51,['HN' 'LN'],285,20.0,4,HDBSCAN,best,haversine,leaf,None,8,8,100,185,30.01,1.875,8,-0.102835584022,10.0620887117,1.42609727393,0.00124184409866,0.301017636059,0.457765851087,0.499396135266,0.974054855448
52,['HN' 'LN'],285,30.0,4,HDBSCAN,best,haversine,leaf,None,10,10,123,162,30.918699187,1.625,8,-0.0526199712198,9.95499613616,1.3989579634,0.00124184409866,0.313026361111,0.530471555106,0.512159533074,0.964566345441
53,['HN' 'LN'],285,40.0,4,HDBSCAN,best,haversine,leaf,None,11,11,143,142,31.0559440559,1.8,15,-0.0285133483728,13.1149876565,1.57607705874,0.00124184409866,0.316552071741,0.535256326153,0.506827309237,0.96103286385
54,['HN' 'LN'],285,50.0,4,HDBSCAN,best,haversine,leaf,None,15,15,211,74,26.7251184834,1.6,30,0.000224775371417,18.8051499843,2.25995622237,0.00124184409866,0.345496328066,0.536939518094,0.525593844095,0.951593773165
55,['HN' 'LN'],285,10.0,5,HDBSCAN,best,haversine,leaf,None,13,13,221,64,6.83257918552,1.6,30,0.0135841162762,21.3913427423,2.54299637772,0.00155544290391,0.588746479435,0.194361194935,0.900773195876,0.94012849024
56,['HN' 'LN'],285,20.0,5,HDBSCAN,best,haversine,leaf,None,3,3,91,194,33.4725274725,2.58333333333,12,0.0258000187285,9.6591920589,2.02395563348,0.00351692137303,0.362227859752,0.431464564767,0.661231884058,0.976822337534
57,['HN' 'LN'],285,30.0,5,HDBSCAN,best,haversine,leaf,None,4,4,117,168,32.2478632479,2.1,20,-0.0920822457407,15.5886793915,1.72021544618,0.00351692137303,0.372496177081,0.32701438924,0.670719844358,0.957375833951
58,['HN' 'LN'],285,40.0,5,HDBSCAN,best,haversine,leaf,None,5,5,126,159,35.5317460317,1.5,10,-0.0751280096253,13.7060717225,1.77098188593,0.00351692137303,0.384599441944,0.431644489757,0.668273092369,0.959624413146
59,['HN' 'LN'],285,50.0,5,HDBSCAN,best,haversine,leaf,None,5,5,151,134,35.9006622517,1.9375,16,0.0897888969733,10.4414813218,3.12586478192,0.00351692137303,0.393920789745,0.456400231932,0.660756105721,0.952162095379
60,['HN' 'LN'],285,10.0,2,OPTICS,auto,haversine,xi,None,3,3,16,269,16.3125,0.0,0,-0.386442181475,6.0267475142,1.37061966407,0.00123554407635,0.0213575433096,0.602298350245,0.0438144329897,0.981640721522
61,['HN' 'LN'],285,20.0,2,OPTICS,auto,haversine,xi,None,38,38,101,184,22.7722772277,0.0,0,-0.29275382243,2.10217558894,1.72394069944,0.000393752782259,0.0307774102079,0.822767037627,0.0609903381643,0.961576476402
62,['HN' 'LN'],285,30.0,2,OPTICS,auto,haversine,xi,None,56,56,149,136,19.0469798658,0.0,0,-0.1552719744,2.57164299116,2.73300992046,0.000406666942625,0.0449980790777,0.693795430337,0.0695525291829,0.952532740301
63,['HN' 'LN'],285,40.0,2,OPTICS,auto,haversine,xi,None,66,66,179,106,19.1675977654,0.0,0,-0.0786084713334,3.96032122957,2.56807610026,0.000406666942625,0.0519765810229,0.750782791313,0.0722891566265,0.94264887571
64,['HN' 'LN'],285,50.0,2,OPTICS,auto,haversine,xi,None,72,72,203,82,20.2610837438,0.0,0,-0.0455724541615,7.11953232553,2.1491345753,0.000430020926583,0.0550335058144,0.771281521901,0.0725995316159,0.9311094638
65,['HN' 'LN'],285,10.0,3,OPTICS,auto,haversine,xi,None,16,16,70,215,12.6857142857,0.0,0,-0.363198706569,3.94353610855,1.85520900552,0.000244734071176,0.136131297162,0.562914787193,0.176546391753,0.984161106993
66,['HN' 'LN'],285,20.0,3,OPTICS,auto,haversine,xi,None,16,16,86,199,26.9534883721,1.0,2,-0.302918068158,4.68002074938,2.06635806335,0.000244734071176,0.10708169969,0.716691853371,0.169082125604,0.965925376822
67,['HN' 'LN'],285,30.0,3,OPTICS,auto,haversine,xi,None,17,17,98,187,27.1632653061,1.0,3,-0.283950987122,5.00061739406,2.40303980283,0.000244734071176,0.0974166669821,0.649382395883,0.148832684825,0.956313318508
68,['HN' 'LN'],285,40.0,3,OPTICS,auto,haversine,xi,None,22,22,120,165,25.1583333333,1.0,3,-0.237026467162,5.67482494877,1.92277600583,0.000244734071176,0.097494233964,0.654350508267,0.140562248996,0.946627131208
69,['HN' 'LN'],285,50.0,3,OPTICS,auto,haversine,xi,None,28,28,155,130,22.7032258065,1.0,10,-0.157216371078,9.27391323162,1.68746798031,0.000244734071176,0.103774506748,0.626938348783,0.140515222482,0.935235977267
70,['HN' 'LN'],285,10.0,4,OPTICS,auto,haversine,xi,None,8,8,51,234,13.8235294118,0.0,0,-0.338308165228,6.91048906441,1.3485654834,0.000566287424054,0.160345978584,0.508846496663,0.216494845361,0.984902396837
71,['HN' 'LN'],285,20.0,4,OPTICS,auto,haversine,xi,None,8,8,53,232,25.4716981132,2.0,2,-0.340861323805,7.4431043829,1.33111434215,0.000566287424054,0.0683623378025,0.584461077435,0.10809178744,0.963429701013
72,['HN' 'LN'],285,30.0,4,OPTICS,auto,haversine,xi,None,11,11,66,219,24.0151515152,1.0,1,-0.372180574518,6.02120697873,2.2532705861,0.000566287424054,0.0659810803343,0.598191185964,0.0992217898833,0.954237706943
73,['HN' 'LN'],285,40.0,4,OPTICS,auto,haversine,xi,None,13,13,81,204,22.8518518519,1.66666666667,3,-0.346712082519,6.6405000931,2.34300467938,0.000566287424054,0.0681030951114,0.624242714082,0.0963855421687,0.944156165061
74,['HN' 'LN'],285,50.0,4,OPTICS,auto,haversine,xi,None,13,13,89,196,24.9550561798,1.8,5,-0.34053614061,8.4976110637,2.2036712976,0.000566287424054,0.0650299005353,0.650611165664,0.0906657745065,0.932023721275
75,['HN' 'LN'],285,10.0,5,OPTICS,auto,haversine,xi,None,7,7,65,220,17.1230769231,0.0,0,-0.271735945482,8.57058288493,1.28213480507,0.000244734071176,0.316326954246,0.366664758347,0.476804123711,0.98930071658
76,['HN' 'LN'],285,20.0,5,OPTICS,auto,haversine,xi,None,5,5,55,230,35.2363636364,0.0,0,-0.301814568542,6.19812214787,1.64789869409,0.000244734071176,0.104037214988,0.689146370071,0.227657004831,0.96839634297
77,['HN' 'LN'],285,30.0,5,OPTICS,auto,haversine,xi,None,7,7,68,217,32.7058823529,1.0,1,-0.269709428251,9.30701412358,1.27170738884,0.000244734071176,0.107535811481,0.547070251631,0.204280155642,0.959574993823
78,['HN' 'LN'],285,40.0,5,OPTICS,auto,haversine,xi,None,8,8,77,208,32.2467532468,2.25,4,-0.253146014341,9.67461437586,1.28973998729,0.000244734071176,0.102512701408,0.607377388763,0.178714859438,0.949196936002
79,['HN' 'LN'],285,50.0,5,OPTICS,auto,haversine,xi,None,11,11,115,170,26.4608695652,2.13333333333,15,-0.22766580391,7.99345957096,2.51697435387,0.000244734071176,0.124359967813,0.560080766067,0.183673469388,0.937039782555
80,['HN' 'LN'],285,10.0,2,OPTICS,auto,haversine,dbscan,None,5,5,101,184,14.9702970297,0.0,0,-0.00274892673985,15.5180145918,1.1897974913,0.00726937971574,0.520610253481,0.0,0.974226804124,0.972349888807
81,['HN' 'LN'],285,20.0,2,OPTICS,auto,haversine,dbscan,None,14,14,131,154,24.3053435115,0.0,0,-0.0880646237753,7.88561720943,2.36407137599,0.00831102648227,0.486358345586,0.337139277898,0.94806763285,0.98361749444
82,['HN' 'LN'],285,30.0,2,OPTICS,auto,haversine,dbscan,None,22,22,196,89,20.6734693878,0.0,0,-0.0344670221107,10.270483952,3.15713102403,0.0153715831539,0.531675938508,0.134277171403,0.980544747082,0.949369903632
83,['HN' 'LN'],285,40.0,2,OPTICS,auto,haversine,dbscan,None,13,13,237,48,20.7679324895,0.0,0,-0.338134447316,29.2541321215,1.32221889781,0.0199946940067,0.506052160449,0.124348377095,0.981124497992,0.809735606622
84,['HN' 'LN'],285,50.0,2,OPTICS,auto,haversine,dbscan,None,10,10,269,16,22.126394052,0.0,0,-0.261819310649,12.1739109604,1.55124377106,0.033222947144,0.0283472766935,0.10925501482,0.991635998662,0.368495181616
85,['HN' 'LN'],285,10.0,3,OPTICS,auto,haversine,dbscan,None,8,8,110,175,13.9090909091,0.0,0,-0.0760822121171,10.6495160234,2.76900480048,0.00726937971574,0.532178300032,0.0,0.985824742268,0.97257227576
86,['HN' 'LN'],285,20.0,3,OPTICS,auto,haversine,dbscan,None,8,8,119,166,26.6050420168,1.0,10,-0.0726630929912,11.9347195764,3.12181711285,0.00831102648227,0.482737709748,0.256998387325,0.944444444444,0.983469236471
87,['HN' 'LN'],285,30.0,3,OPTICS,auto,haversine,dbscan,None,8,8,159,126,25.0440251572,1.0,15,-0.0279549850431,17.4517973286,4.43110317804,0.0165117740634,0.51617608234,0.145871715665,0.964980544747,0.949098097356
88,['HN' 'LN'],285,40.0,3,OPTICS,auto,haversine,dbscan,None,6,6,219,66,22.3515981735,1.0,35,-0.0935922442567,31.8263272503,1.75448090485,0.0193597402944,0.501237318753,0.140348981072,0.976305220884,0.809562638992
89,['HN' 'LN'],285,50.0,3,OPTICS,auto,haversine,dbscan,None,3,3,251,34,23.5896414343,1.0,17,-0.000218840693209,15.4371961941,2.48457035421,0.033222947144,0.0236668498222,0.104413950353,0.986952157912,0.368198665678
