Sequence,Station Types,Station Quantity,Maximum Distance,Minimum Points,Name,Algorithm,Metric,Method,Seed,Generated Cluster Count,Valid Cluster Count,Clustered Station Count,Unclsutered Noise Count,Average Station Degree,Degree Weighted Mean Absolute Error,Degree Error Station Count,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index,Modularity,Conductance Average,Coverage Score,Performance Score
0,['HN' 'LH' 'HH'],336,10.0,2,DBSCAN,auto,haversine,None,None,26,26,157,179,10.7133757962,0.0,0,-0.113691556219,5.09371416274,2.27325309376,0.00713117970499,0.559729442753,0.0,1.0,0.978695806681
1,['HN' 'LH' 'HH'],336,20.0,2,DBSCAN,auto,haversine,None,None,37,37,237,99,15.3670886076,0.0,0,0.01013498256,7.98627288161,3.39734304265,0.0134495776872,0.543456489229,0.0,1.0,0.969758351102
2,['HN' 'LH' 'HH'],336,30.0,2,DBSCAN,auto,haversine,None,None,39,39,291,45,15.8900343643,0.0,0,-0.0436021828503,19.6942802106,2.10112956621,0.0195650855698,0.582678308449,0.0,1.0,0.947778962331
3,['HN' 'LH' 'HH'],336,40.0,2,DBSCAN,auto,haversine,None,None,17,17,320,16,17.5375,0.0,0,-0.444993850658,51.699679814,1.71937387103,0.0272334877062,0.507542131742,0.0,1.0,0.726830135039
4,['HN' 'LH' 'HH'],336,50.0,2,DBSCAN,auto,haversine,None,None,9,9,326,10,20.7914110429,0.0,0,-0.375560358361,18.0437286849,1.56074547787,0.0339452939682,0.0321208262268,0.0,1.0,0.323933901919
5,['HN' 'LH' 'HH'],336,10.0,3,DBSCAN,auto,haversine,None,None,11,11,127,209,13.0078740157,0.0,0,-0.148069565236,7.89232228139,4.28370072955,0.00713117970499,0.541904137111,0.0,0.982164090369,0.978429282161
6,['HN' 'LH' 'HH'],336,20.0,3,DBSCAN,auto,haversine,None,None,17,17,197,139,18.2842639594,0.5,25,-0.0648298169275,11.1674095497,5.82028931784,0.0134495776872,0.532476528487,0.0,0.989017023613,0.969402985075
7,['HN' 'LH' 'HH'],336,30.0,3,DBSCAN,auto,haversine,None,None,19,19,251,85,18.2629482072,0.5,48,-0.0479961496402,19.1503002005,1.94981184517,0.0195650855698,0.574029660205,0.0,0.991349480969,0.947423596304
8,['HN' 'LH' 'HH'],336,40.0,3,DBSCAN,auto,haversine,None,None,10,10,306,30,18.2941176471,0.5,46,-0.348200233716,54.9874753225,1.90661172286,0.0272334877062,0.505047921951,0.0,0.997505345688,0.72670575693
9,['HN' 'LH' 'HH'],336,50.0,3,DBSCAN,auto,haversine,None,None,5,5,318,18,21.2893081761,0.5,27,-0.0720018104376,25.7026608405,2.67930337756,0.0339452939682,0.0309407111913,0.0,0.998819710829,0.323862828714
