Trial,Station Type,Station Quantity,Name,Algorithm,Distance,Epsilon,Minimum Points,Metric,Method,Fit_Predict,Cluster Count,Clustered Station Count,Unclsutered Noise Count,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index
1,EH,118,DBSCAN,Auto,10.0,0.001586292,2,haversine,None,TRUE/FALSE,8,23,95,-0.3316,1.0325,2.1195,0.0102
2,EH,118,DBSCAN,Auto,20.0,0.003172584,2,haversine,None,TRUE/FALSE,6,53,65,-0.1423,6.9016,1.5563,0.0227
3,EH,118,DBSCAN,Auto,30.0,0.004758877,2,haversine,None,TRUE/FALSE,14,94,24,-0.0098,9.5233,2.6618,0.0303
4,EH,118,DBSCAN,Auto,40.0,0.006345169,2,haversine,None,TRUE/FALSE,7,109,9,-0.2162,29.1030,1.4068,0.0466
5,EH,118,DBSCAN,Auto,50.0,0.007931461,2,haversine,None,TRUE/FALSE,7,114,4,-0.2324,44.6964,0.7493,0.0976
6,EH,118,DBSCAN,Auto,10.0,0.001586292,3,haversine,None,TRUE/FALSE,3,13,105,-0.2657,0.5315,4.2560,0.0112
7,EH,118,DBSCAN,Auto,20.0,0.003172584,3,haversine,None,TRUE/FALSE,5,51,67,-0.1039,7.6408,1.7055,0.0227
8,EH,118,DBSCAN,Auto,30.0,0.004758877,3,haversine,None,TRUE/FALSE,9,84,34,-0.0200,9.0965,2.0134,0.0287
9,EH,118,DBSCAN,Auto,40.0,0.006345169,3,haversine,None,TRUE/FALSE,4,103,15,-0.1623,35.5103,1.8856,0.0466
10,EH,118,DBSCAN,Auto,50.0,0.007931461,3,haversine,None,TRUE/FALSE,4,108,10,-0.1526,71.2666,0.6046,0.1468
11,EH,118,DBSCAN,Auto,10.0,0.001586292,4,haversine,None,TRUE/FALSE,1,6,112,None,None,None,None
12,EH,118,DBSCAN,Auto,20.0,0.003172584,4,haversine,None,TRUE/FALSE,4,46,72,-0.0285,8.3124,1.6908,0.0150
13,EH,118,DBSCAN,Auto,30.0,0.004758877,4,haversine,None,TRUE/FALSE,5,68,50,-0.0941,11.6930,1.6635,0.0253
14,EH,118,DBSCAN,Auto,40.0,0.006345169,4,haversine,None,TRUE/FALSE,4,99,19,0.0027,52.3428,0.9960,0.0267
