Trial,Station Type,Station Quantity,Name,Algorithm,Distance,Epsilon,Minimum Points,Metric,Method,Fit_Predict,Cluster Count,Clustered Station Count,Unclsutered Noise Count,Modularity,Conductance Average,Coverage Score,Performance Score
1,EH,118,ASYNC-LPA,None,10,0.001586292,2,haversine,random,None,8,23,95,0.665,0,1,0.9526
2,EH,118,ASYNC-LPA,None,20,0.003172584,2,haversine,random,None,9,53,65,0.693,0.1317,0.9043,0.9838
3,EH,118,ASYNC-LPA,None,30,0.004758877,2,haversine,random,None,19,94,24,0.698,0.1174,0.9381,0.968
4,EH,118,ASYNC-LPA,None,40,0.006345169,2,haversine,random,None,15,109,9,0.6928,0.0992,0.9479,0.9509
5,EH,118,ASYNC-LPA,None,50,0.007931461,2,haversine,random,None,13,112,6,0.664,0.1111,0.9242,0.9503
6,EH,118,ASYNC-LPA,None,10,0.001586292,3,haversine,random,None,3,13,105,0.665,0,1,0.9983
7,EH,118,ASYNC-LPA,None,20,0.003172584,3,haversine,random,None,6,49,69,0.6625,0.1074,0.9574,0.9725
8,EH,118,ASYNC-LPA,None,30,0.004758877,3,haversine,random,None,10,76,42,0.698,0.0564,0.9381,0.968
9,EH,118,ASYNC-LPA,None,40,0.006345169,3,haversine,random,None,11,103,15,0.6972,0.1,0.9534,0.948
10,EH,118,ASYNC-LPA,None,50,0.007931461,3,haversine,random,None,11,108,10,0.664,0.1414,0.9242,0.9503
11,EH,118,ASYNC-LPA,None,10,0.001586292,4,haversine,random,None,1,7,111,0.665,0,1,0.9983
12,EH,118,ASYNC-LPA,None,20,0.003172584,4,haversine,random,None,5,43,75,0.693,0.1024,0.9043,0.9838
13,EH,118,ASYNC-LPA,None,30,0.004758877,4,haversine,random,None,8,67,51,0.6639,0.1513,0.8982,0.969
14,EH,118,ASYNC-LPA,None,40,0.006345169,4,haversine,random,None,10,100,18,0.7018,0.1078,0.9589,0.9468
15,EH,118,ASYNC-LPA,None,50,0.007931461,4,haversine,random,None,11,108,10,0.664,0.1414,0.9242,0.9503
16,EH,118,ASYNC-LPA,None,10,0.001586292,5,haversine,random,None,1,7,111,0.665,0,1,0.9983
17,EH,118,ASYNC-LPA,None,20,0.003172584,5,haversine,random,None,4,46,72,0.6901,0.0045,0.9894,0.9716
18,EH,118,ASYNC-LPA,None,30,0.004758877,5,haversine,random,None,5,59,59,0.698,0.085,0.9381,0.968
19,EH,118,ASYNC-LPA,None,40,0.006345169,5,haversine,random,None,9,92,26,0.6928,0.0957,0.9479,0.9509
20,EH,118,ASYNC-LPA,None,50,0.007931461,5,haversine,random,None,8,96,22,0.6621,0.135,0.9221,0.9506
21,EH,119,ASYNC-LPA,None,10,0.001586292,2,haversine,int,None,8,23,95,0.665,0,1,0.9983
22,EH,120,ASYNC-LPA,None,20,0.003172584,2,haversine,int,None,8,53,65,0.7206,0.07,0.9362,0.9829
23,EH,121,ASYNC-LPA,None,30,0.004758877,2,haversine,int,None,19,94,24,0.698,0.1174,0.9381,0.968
24,EH,122,ASYNC-LPA,None,40,0.006345169,2,haversine,int,None,14,109,9,0.6972,0.0786,0.9534,0.948
25,EH,123,ASYNC-LPA,None,50,0.007931461,2,haversine,int,None,12,112,6,0.6687,0.0889,0.9305,0.9458
26,EH,124,ASYNC-LPA,None,10,0.001586292,3,haversine,int,None,3,13,105,0.665,0,1,0.9983
27,EH,125,ASYNC-LPA,None,20,0.003172584,3,haversine,int,None,6,49,69,0.7206,0.0438,0.9362,0.9829
28,EH,126,ASYNC-LPA,None,30,0.004758877,3,haversine,int,None,10,78,40,0.7022,0.0425,0.9425,0.9671
29,EH,127,ASYNC-LPA,None,40,0.006345169,3,haversine,int,None,12,103,15,0.6928,0.124,0.9479,0.9509
30,EH,128,ASYNC-LPA,None,50,0.007931461,3,haversine,int,None,11,108,10,0.6646,0.1359,0.9242,0.952
31,EH,129,ASYNC-LPA,None,10,0.001586292,4,haversine,int,None,1,7,111,0.665,0,1,0.9983
32,EH,130,ASYNC-LPA,None,20,0.003172584,4,haversine,int,None,4,46,72,0.6901,0.0045,0.9894,0.9716
33,EH,131,ASYNC-LPA,None,30,0.004758877,4,haversine,int,None,7,67,51,0.698,0.0805,0.9381,0.968
34,EH,132,ASYNC-LPA,None,40,0.006345169,4,haversine,int,None,10,100,18,0.6972,0.11,0.9534,0.948
35,EH,133,ASYNC-LPA,None,50,0.007931461,4,haversine,int,None,12,108,10,0.6571,0.1791,0.9158,0.9535
36,EH,134,ASYNC-LPA,None,10,0.001586292,5,haversine,int,None,1,7,111,0.665,0,1,0.9983
37,EH,135,ASYNC-LPA,None,20,0.003172584,5,haversine,int,None,4,39,79,0.693,0.0657,0.9043,0.9838
38,EH,136,ASYNC-LPA,None,30,0.004758877,5,haversine,int,None,5,59,59,0.698,0.085,0.9381,0.968
39,EH,137,ASYNC-LPA,None,40,0.006345169,5,haversine,int,None,9,92,26,0.6928,0.0957,0.9479,0.9509
40,EH,138,ASYNC-LPA,None,50,0.007931461,5,haversine,int,None,8,100,18,0.6686,0.1178,0.9305,0.945
41,EH,118,LPA,None,10,0.001586292,2,haversine,None,None,9,23,95,0.6863,0.0486,0.95,0.9994
42,EH,118,LPA,None,20,0.003172584,2,haversine,None,None,11,53,65,0.6833,0.189,0.8511,0.9888
43,EH,118,LPA,None,30,0.004758877,2,haversine,None,None,19,94,24,0.7065,0.1156,0.9381,0.97
44,EH,118,LPA,None,40,0.006345169,2,haversine,None,None,14,109,9,0.704,0.0819,0.9616,0.9454
